carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
1.5,2,3,3,7.2,7.18,3.690748299319728,62.7,59.0,10800
0.9,4,5,4,6.1,6.12,3.78,62.4,57.0,2600
0.7959183673469388,1,2,1,6.9,5.834074074074074,4.27,62.2,57.0,9300
0.45,4,6,3,4.9,4.91,3.690748299319728,62.1,56.0,1700
0.6,2,4,3,5.5,5.49,3.690748299319728,62.3,58.0,2800
0.7959183673469388,3,3,2,5.3,5.31,3.3,62.0,57.0,2700
0.95,0,1,0,6.3,5.834074074074074,3.9,62.6,58.0,9400
1.05,4,7,3,6.6,6.58,3.690748299319728,62.7,57.0,8500
0.7959183673469388,5,4,4,5.9,5.834074074074074,3.65,61.9,55.0,2200
0.45,4,5,0,4.8,4.82,3.01,62.1,56.0,1500
0.7959183673469388,0,3,1,6.2,5.834074074074074,3.84,61.9,58.0,5900
0.85,1,6,3,5.8,5.82,3.690748299319728,62.2,55.0,4800
0.95,2,1,3,6.3,6.31,3.91,62.4,57.0,7300
0.7959183673469388,3,2,4,6.0,6.01,3.690748299319728,62.3,54.0,2700
0.35,0,4,2,4.6,5.834074074074074,2.85,62.0,57.0,1400
0.55,2,7,0,5.4,5.834074074074074,3.35,62.3,56.0,2600
0.7959183673469388,5,1,3,4.8,4.79,2.96,61.8,57.0,1200
1.05,1,3,1,6.7,6.69,4.13,62.3,58.0,9500
0.75,4,4,3,5.7,5.71,3.690748299319728,62.5,57.0,3800
0.65,3,0,2,5.6,5.58,3.48,62.6,57.0,3300
1.4,2,5,3,7.1,5.834074074074074,4.39,62.7,59.0,11200
0.3,5,6,4,4.4,4.41,3.690748299319728,62.1,55.0,600
0.5,1,2,1,5.2,5.22,3.690748299319728,62.3,58.0,2900
1.3,4,3,3,6.9,5.834074074074074,4.26,62.3,57.0,9900
0.7959183673469388,2,1,3,6.8,6.81,4.21,62.3,59.0,8100
0.4,3,7,2,4.8,4.78,2.96,62.2,57.0,1400
1.15,0,4,0,6.5,5.834074074074074,4.02,62.0,58.0,9800
0.7959183673469388,5,5,3,5.9,5.88,3.63,62.4,57.0,2100
0.55,4,6,4,5.3,5.834074074074074,3.29,62.1,54.0,1700
0.6,2,1,1,5.6,5.58,3.48,62.3,57.0,3700
0.7959183673469388,3,3,2,6.1,6.12,3.690748299319728,62.1,59.0,5000
0.35,5,4,0,4.5,4.52,2.79,62.0,57.0,900
0.75,1,5,3,5.8,5.81,3.690748299319728,62.3,56.0,4600
0.7959183673469388,4,2,4,5.9,5.834074074074074,3.64,62.2,54.0,2500
1.05,0,6,1,6.6,6.59,4.09,62.3,58.0,9600
0.4,2,7,3,4.7,4.69,2.91,62.1,57.0,1800
0.55,5,4,2,5.3,5.834074074074074,3.28,62.4,57.0,2300
0.7959183673469388,1,5,0,6.8,6.79,4.21,62.2,57.0,7900
0.7,4,1,3,5.7,5.69,3.53,62.5,57.0,4000
0.9,3,0,1,6.2,6.22,3.690748299319728,62.3,59.0,6600
0.5,2,3,3,5.2,5.834074074074074,3.22,62.6,58.0,3100
0.45,5,6,4,4.8,4.81,2.98,62.3,54.0,1100
1.2,1,2,1,6.8,5.834074074074074,4.2,62.7,58.0,10200
0.65,4,4,3,5.6,5.59,3.47,62.3,57.0,3500
0.55,2,1,2,5.4,5.834074074074074,3.34,62.4,56.0,2800
1.3,3,5,0,6.9,6.92,3.690748299319728,62.8,59.0,9900
0.75,0,3,3,5.9,5.834074074074074,3.65,62.5,57.0,4700
0.7959183673469388,5,2,4,6.0,5.834074074074074,3.71,62.6,55.0,2600
0.5,4,6,2,5.1,5.834074074074074,3.17,62.1,56.0,2200
0.85,2,2,1,6.0,6.03,3.73,62.3,58.0,6500
0.7959183673469388,5,4,0,5.7,5.834074074074074,3.56,62.4,56.0,1900
1.1,4,5,4,6.6,6.58,3.690748299319728,62.5,54.0,7100
0.7959183673469388,1,1,3,6.3,6.32,3.92,62.3,57.0,7800
0.9,3,6,2,6.2,5.834074074074074,3.85,62.2,59.0,6700
0.5,2,3,1,5.2,5.23,3.690748299319728,62.1,58.0,3200
0.7959183673469388,5,0,3,5.5,5.834074074074074,3.41,62.3,56.0,2400
0.4,0,4,0,4.7,4.69,2.91,62.3,57.0,2600
1.15,2,5,4,6.7,6.71,4.14,62.6,57.0,9200
0.7959183673469388,4,2,2,5.8,5.81,3.690748299319728,62.3,55.0,3000
0.7,3,6,1,5.7,5.68,3.53,62.7,58.0,4100
0.65,1,1,3,5.6,5.57,3.690748299319728,62.4,56.0,3600
1.25,0,4,0,6.8,5.834074074074074,4.21,62.3,59.0,10300
0.55,5,3,4,5.3,5.834074074074074,3.28,62.1,54.0,2300
0.6,4,2,1,5.5,5.49,3.690748299319728,62.2,57.0,3400
0.7959183673469388,2,1,3,6.4,6.42,3.97,62.3,57.0,8000
0.75,3,6,2,5.9,5.88,3.65,62.3,57.0,4400
1.4,1,2,1,7.1,5.834074074074074,4.4,62.7,58.0,11500
0.7959183673469388,5,3,3,5.9,5.89,3.690748299319728,62.8,55.0,2500
0.45,4,5,0,4.8,4.79,2.97,62.3,56.0,1500
0.95,4,4,2,6.3,6.31,3.92,62.3,56.0,6800
1.05,5,0,1,6.7,6.68,3.690748299319728,62.5,57.0,7300
0.55,1,5,3,5.3,5.29,3.690748299319728,62.1,58.0,3100
0.65,4,6,4,5.6,5.59,3.46,62.3,56.0,3300
0.7959183673469388,2,2,1,6.5,6.51,4.03,62.3,57.0,7700
0.8,0,3,3,6.0,5.834074074074074,3.72,62.3,57.0,5900
1.15,3,4,2,6.8,6.82,4.21,62.6,58.0,9300
0.7959183673469388,2,1,4,6.4,5.834074074074074,3.97,62.4,57.0,7900
0.7,4,5,0,5.7,5.68,3.52,62.5,57.0,4200
1.3,5,6,1,7.0,5.834074074074074,4.33,62.7,56.0,9800
0.4,1,3,3,4.8,4.77,2.96,62.3,55.0,2700
0.7959183673469388,4,2,3,5.6,5.58,3.690748299319728,62.2,59.0,2900
0.85,0,1,2,6.1,6.09,3.78,62.3,56.0,6500
1.2,2,4,4,6.9,6.89,3.690748299319728,62.8,54.0,10100
0.5,3,5,1,5.1,5.834074074074074,3.16,62.3,57.0,3000
1.05,5,6,2,6.6,6.59,4.08,62.3,58.0,7400
0.45,2,2,3,4.9,5.834074074074074,3.02,62.4,55.0,2600
0.75,4,3,0,5.8,5.77,3.59,62.3,56.0,4600
0.7959183673469388,0,4,1,6.3,6.28,3.690748299319728,62.5,57.0,7200
0.6,1,5,3,5.5,5.49,3.690748299319728,62.1,56.0,3600
0.9,4,5,1,6.2,6.21,3.84,62.3,59.0,6800
1.1,1,2,2,6.7,5.834074074074074,4.15,62.2,56.0,9500
0.7959183673469388,0,6,3,6.5,6.52,4.04,62.3,58.0,7600
0.45,3,3,4,4.9,4.88,3.690748299319728,62.5,54.0,2100
0.7,2,4,0,5.7,5.834074074074074,3.54,62.4,55.0,4300
0.7959183673469388,5,0,1,5.4,5.41,3.35,62.3,56.0,2200
0.8,2,5,2,6.0,5.834074074074074,3.72,62.7,57.0,6300
1.25,4,1,3,6.9,5.834074074074074,4.26,62.3,58.0,10400
0.55,3,6,4,5.4,5.39,3.33,62.6,57.0,2800
0.7959183673469388,1,2,1,6.3,5.834074074074074,3.9,62.3,59.0,7800
0.65,5,4,2,5.6,5.57,3.47,62.3,56.0,3400
1.3,4,5,4,7.0,5.834074074074074,4.33,62.7,58.0,10200
0.5,1,6,0,5.2,5.19,3.690748299319728,62.8,55.0,3200
0.85,4,3,2,6.1,6.11,3.78,62.3,57.0,6400
0.7959183673469388,5,4,3,5.6,5.834074074074074,3.46,62.4,59.0,2300
1.05,2,2,0,6.6,6.62,4.09,62.6,57.0,9300
0.4,3,3,4,4.7,5.834074074074074,2.92,62.1,56.0,2400
1.2,1,4,1,6.8,5.834074074074074,4.2,62.3,58.0,10100
0.7959183673469388,5,5,2,5.9,5.88,3.65,62.5,57.0,2600
0.75,4,6,3,5.9,5.89,3.64,62.3,56.0,4500
0.95,2,4,0,6.4,6.41,3.97,62.3,58.0,6900
1.15,3,3,2,6.9,6.88,4.27,62.3,56.0,9600
0.55,1,5,4,5.3,5.834074074074074,3.29,62.3,59.0,3100
0.7959183673469388,0,6,1,6.5,6.52,4.03,62.6,57.0,7700
0.65,4,2,3,5.6,5.58,3.47,62.3,56.0,3300
0.8,5,4,4,6.1,6.08,3.690748299319728,62.5,57.0,4000
0.7959183673469388,2,5,1,6.5,6.53,4.04,62.7,58.0,7900
1.3,3,0,2,7.1,5.834074074074074,4.39,62.3,56.0,10300
0.7,1,6,4,5.8,5.77,3.59,62.3,55.0,4300
0.4,4,3,1,4.8,4.78,3.690748299319728,62.4,58.0,2100
1.05,5,4,3,6.7,6.68,4.14,62.3,56.0,7400
0.85,2,5,4,6.2,6.21,3.690748299319728,62.2,57.0,6500
0.7959183673469388,3,6,2,5.7,5.69,3.52,62.8,57.0,4100
0.45,1,4,0,4.9,5.834074074074074,3.03,62.1,59.0,2600
1.2,4,3,1,6.9,6.88,4.27,62.5,56.0,10100
0.5,1,6,4,5.1,5.12,3.690748299319728,62.6,57.0,3200
0.6,3,4,2,5.5,5.52,3.42,62.3,56.0,3500
1.4,2,5,3,7.2,5.834074074074074,4.45,62.7,58.0,12000
0.7959183673469388,0,6,4,6.4,6.41,3.97,62.3,55.0,8000
0.75,3,3,1,5.9,5.91,3.66,62.3,59.0,4600
1.1,2,3,4,6.8,6.79,4.21,62.3,57.0,9400
0.4,3,6,1,4.7,4.69,3.690748299319728,62.2,55.0,2200
0.7959183673469388,5,4,2,5.4,5.43,3.35,62.3,59.0,2400
0.75,1,5,3,5.9,5.89,3.690748299319728,62.7,56.0,4400
1.35,4,2,0,7.2,5.834074074074074,4.46,62.8,57.0,10700
0.7959183673469388,1,6,4,6.6,6.61,4.09,62.6,55.0,7900
0.9,4,4,1,6.3,6.31,3.9,62.3,58.0,6900
0.6,0,5,2,5.5,5.49,3.41,62.3,56.0,3600
0.7959183673469388,5,6,0,5.7,5.834074074074074,3.53,62.4,57.0,2500
0.85,2,3,1,6.2,5.834074074074074,3.84,62.3,59.0,6600
1.25,4,4,4,6.9,6.91,3.690748299319728,62.3,58.0,10500
0.5,1,5,2,5.2,5.834074074074074,3.22,62.1,57.0,3100
0.95,4,1,3,6.4,6.38,3.96,62.3,56.0,7100
0.7959183673469388,0,6,2,6.4,5.834074074074074,3.98,62.2,58.0,7600
0.45,1,2,1,4.8,4.81,3.690748299319728,62.5,55.0,2500
1.3,3,4,0,7.0,7.01,4.34,62.3,57.0,9900
0.7959183673469388,2,5,4,6.6,6.62,3.690748299319728,62.6,58.0,8100
0.7,4,6,2,5.8,5.77,3.58,62.3,56.0,4200
0.55,1,3,3,5.4,5.38,3.690748299319728,62.4,59.0,3300
1.2,5,4,1,6.8,6.81,4.21,62.7,57.0,10100
1.05,2,3,2,6.6,6.65,4.11,62.3,58.0,9200
0.35,3,6,1,4.5,4.49,3.690748299319728,62.3,56.0,2100
0.8,1,5,4,6.0,6.01,3.72,62.3,58.0,4900
0.7959183673469388,1,5,3,6.5,6.52,4.03,62.6,57.0,7900
0.5,4,2,1,5.1,5.11,3.690748299319728,62.5,55.0,2900
1.35,5,6,0,7.1,7.12,4.4,62.3,56.0,9900
0.65,4,3,2,5.5,5.834074074074074,3.41,62.3,57.0,3400
1.15,1,4,1,6.8,6.85,4.23,62.7,57.0,9800
0.4,4,5,4,4.7,5.834074074074074,2.91,62.1,58.0,2000
0.7959183673469388,2,2,3,6.3,5.834074074074074,3.9,62.3,58.0,7700
0.95,3,4,0,6.4,6.42,3.96,62.3,56.0,7100
0.45,3,3,2,4.9,4.89,3.690748299319728,62.4,59.0,2300
1.25,2,5,3,6.9,5.834074074074074,4.27,62.3,55.0,10400
0.85,4,2,4,6.1,6.13,3.78,62.3,58.0,6300
0.7959183673469388,1,4,2,6.4,6.43,3.97,62.5,57.0,7500
